,id,identifier,title,relation,type,subject,language,format,rights,preview
5336,oai:dasi.cnr.it:epi:5405,"['DASI:epi-5405', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5405']",TC 922,DASI:obj-5405,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=560&sessId=&size=med
5337,oai:dasi.cnr.it:epi:5406,"['DASI:epi-5406', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5406']",TC 924A,DASI:obj-5406,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=885&sessId=&size=med
5338,oai:dasi.cnr.it:epi:5407,"['DASI:epi-5407', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5407']",TC 924B,DASI:obj-5407,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=885&sessId=&size=med
5339,oai:dasi.cnr.it:epi:5408,"['DASI:epi-5408', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5408']",TC 929,DASI:obj-5408,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1171&sessId=&size=med
5340,oai:dasi.cnr.it:epi:5409,"['DASI:epi-5409', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5409']","['TC 942', 'CSAI I, 989']",DASI:obj-5409,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,
5341,oai:dasi.cnr.it:epi:5410,"['DASI:epi-5410', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5410']",TC 944,DASI:obj-5410,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2967&sessId=&size=med
5342,oai:dasi.cnr.it:epi:5411,"['DASI:epi-5411', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5411']",TC 947,DASI:obj-5411,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1309&sessId=&size=med
5343,oai:dasi.cnr.it:epi:5412,"['DASI:epi-5412', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5412']",TC 957,DASI:obj-5412,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=3341&sessId=&size=med
5344,oai:dasi.cnr.it:epi:5413,"['DASI:epi-5413', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5413']",TC 958,DASI:obj-5413,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2327&sessId=&size=med
5345,oai:dasi.cnr.it:epi:5414,"['DASI:epi-5414', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5414']",TC 965,DASI:obj-5414,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2983&sessId=&size=med
5346,oai:dasi.cnr.it:epi:5415,"['DASI:epi-5415', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5415']","['TC 973', 'CSAI I, 990']",DASI:obj-5415,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4001&sessId=&size=med
